SNo.,Name,Symbol,URL
""
1,Bitcoin,BTC,coinmarketcap.com/currencies/bitcoin/
2,Ethereum,ETH,coinmarketcap.com/currencies/ethereum/
3,Binance Coin,BNB,coinmarketcap.com/currencies/binance-coin/
4,Dogecoin,DOGE,coinmarketcap.com/currencies/dogecoin/
5,XRP,XRP,coinmarketcap.com/currencies/xrp/
6,Cardano,ADA,coinmarketcap.com/currencies/cardano/
7,Polkadot,DOT,coinmarketcap.com/currencies/polkadot-new/
8,Bitcoin Cash,BCH,coinmarketcap.com/currencies/bitcoin-cash/
9,Litecoin,LTC,coinmarketcap.com/currencies/litecoin/
10,Ethereum Classic,ETC,coinmarketcap.com/currencies/ethereum-classic/
11,VeChain,VET,coinmarketcap.com/currencies/vechain/
12,Stellar,XLM,coinmarketcap.com/currencies/stellar/
13,THETA,THETA,coinmarketcap.com/currencies/theta/
14,Solana,SOL,coinmarketcap.com/currencies/solana/
15,Filecoin,FIL,coinmarketcap.com/currencies/filecoin/
16,TRON,TRX,coinmarketcap.com/currencies/tron/
17,EOS,EOS,coinmarketcap.com/currencies/eos/
18,Monero,XMR,coinmarketcap.com/currencies/monero/
19,Neo,NEO,coinmarketcap.com/currencies/neo/
20,Bitcoin SV,BSV,coinmarketcap.com/currencies/bitcoin-sv/
21,Terra,LUNA,coinmarketcap.com/currencies/terra-luna/
22,Cosmos,ATOM,coinmarketcap.com/currencies/cosmos/
23,IOTA,MIOTA,coinmarketcap.com/currencies/iota/
24,Tezos,XTZ,coinmarketcap.com/currencies/tezos/
25,Klaytn,KLAY,coinmarketcap.com/currencies/klaytn/
26,Avalanche,AVAX,coinmarketcap.com/currencies/avalanche/
27,Algorand,ALGO,coinmarketcap.com/currencies/algorand/
28,Dash,DASH,coinmarketcap.com/currencies/dash/
29,Kusama,KSM,coinmarketcap.com/currencies/kusama/
30,Zcash,ZEC,coinmarketcap.com/currencies/zcash/
31,NEM,XEM,coinmarketcap.com/currencies/nem/
32,Waves,WAVES,coinmarketcap.com/currencies/waves/
33,Elrond,EGLD,coinmarketcap.com/currencies/elrond-egld/
34,Decred,DCR,coinmarketcap.com/currencies/decred/
35,Zilliqa,ZIL,coinmarketcap.com/currencies/zilliqa/
36,Hedera Hashgraph,HBAR,coinmarketcap.com/currencies/hedera-hashgraph/
37,Qtum,QTUM,coinmarketcap.com/currencies/qtum/
38,Bitcoin Gold,BTG,coinmarketcap.com/currencies/bitcoin-gold/
39,Stacks,STX,coinmarketcap.com/currencies/stacks/
40,DigiByte,DGB,coinmarketcap.com/currencies/digibyte/
41,Theta Fuel,TFUEL,coinmarketcap.com/currencies/theta-fuel/
42,Fantom,FTM,coinmarketcap.com/currencies/fantom/
43,TerraUSD,UST,coinmarketcap.com/currencies/terrausd/
44,NEAR Protocol,NEAR,coinmarketcap.com/currencies/near-protocol/
45,Siacoin,SC,coinmarketcap.com/currencies/siacoin/
46,Ontology,ONT,coinmarketcap.com/currencies/ontology/
47,Bitcoin Diamond,BCD,coinmarketcap.com/currencies/bitcoin-diamond/
48,ICON,ICX,coinmarketcap.com/currencies/icon/
49,Horizen,ZEN,coinmarketcap.com/currencies/horizen/
50,Ravencoin,RVN,coinmarketcap.com/currencies/ravencoin/
